kode_provinsi,nama_provinsi,tahun,tingkat_pendidikan,persen_angka_partisipasi_murni
13,"Prov. Sumatera Barat",2007,"SMP/Mts/Paket/B",67.33
13,"Prov. Sumatera Barat",2008,"SD/MI/Paket/A",94.66
13,"Prov. Sumatera Barat",2008,"SM/SMK/MA/Paket/C",54.68
13,"Prov. Sumatera Barat",2008,"SMP/Mts/Paket/B",67.63
13,"Prov. Sumatera Barat",2009,"SD/MI/Paket/A",94.75
13,"Prov. Sumatera Barat",2009,"SM/SMK/MA/Paket/C",54.5
13,"Prov. Sumatera Barat",2009,"SMP/Mts/Paket/B",67.61
13,"Prov. Sumatera Barat",2010,"SD/MI/Paket/A",95.51
13,"Prov. Sumatera Barat",2010,"SM/SMK/MA/Paket/C",55.06
13,"Prov. Sumatera Barat",2010,"SMP/Mts/Paket/B",68.22
13,"Prov. Sumatera Barat",2011,"SD/MI/Paket/A",93.47
13,"Prov. Sumatera Barat",2011,"SM/SMK/MA/Paket/C",54.05
13,"Prov. Sumatera Barat",2011,"SMP/Mts/Paket/B",67.1
13,"Prov. Sumatera Barat",2012,"SD/MI/Paket/A",95.74
13,"Prov. Sumatera Barat",2012,"SM/SMK/MA/Paket/C",55.54
13,"Prov. Sumatera Barat",2012,"SMP/Mts/Paket/B",70.03
14,"Prov. Riau",2003,"SD/MI",94.13
14,"Prov. Riau",2003,"SM/MA",47.25
14,"Prov. Riau",2003,"SMP/Mts",67.19
14,"Prov. Riau",2004,"SD/MI",94.64
14,"Prov. Riau",2004,"SM/MA",47.73
14,"Prov. Riau",2004,"SMP/Mts",69.65
14,"Prov. Riau",2005,"SD/MI",94.95
14,"Prov. Riau",2005,"SM/MA",50.51
14,"Prov. Riau",2005,"SMP/Mts",72.5
14,"Prov. Riau",2006,"SD/MI",94.72
14,"Prov. Riau",2006,"SM/MA",49.43
14,"Prov. Riau",2006,"SMP/Mts",72.93
14,"Prov. Riau",2007,"SD/MI/Paket/A",94.8
14,"Prov. Riau",2007,"SM/SMK/MA/Paket/C",51.54
14,"Prov. Riau",2007,"SMP/Mts/Paket/B",70000
14,"Prov. Riau",2008,"SD/MI/Paket/A",95.04
14,"Prov. Riau",2008,"SM/SMK/MA/Paket/C",51.84
14,"Prov. Riau",2008,"SMP/Mts/Paket/B",70.66
14,"Prov. Riau",2009,"SD/MI/Paket/A",95.52
14,"Prov. Riau",2009,"SM/SMK/MA/Paket/C",51.78
14,"Prov. Riau",2009,"SMP/Mts/Paket/B",70.57
14,"Prov. Riau",2010,"SD/MI/Paket/A",96.24
14,"Prov. Riau",2010,"SM/SMK/MA/Paket/C",52.24
14,"Prov. Riau",2010,"SMP/Mts/Paket/B",71.36
14,"Prov. Riau",2011,"SD/MI/Paket/A",91.67
14,"Prov. Riau",2011,"SM/SMK/MA/Paket/C",53.07
14,"Prov. Riau",2011,"SMP/Mts/Paket/B",65.98
14,"Prov. Riau",2012,"SD/MI/Paket/A",92.99
14,"Prov. Riau",2012,"SM/SMK/MA/Paket/C",52.39
14,"Prov. Riau",2012,"SMP/Mts/Paket/B",70.22
15,"Prov. Jambi",2003,"SD/MI",93.78
15,"Prov. Jambi",2003,"SM/MA",40.68
15,"Prov. Jambi",2003,"SMP/Mts",61.3
15,"Prov. Jambi",2004,"SD/MI",93.46
15,"Prov. Jambi",2004,"SM/MA",42.24
15,"Prov. Jambi",2004,"SMP/Mts",65.69
15,"Prov. Jambi",2005,"SD/MI",93.52
15,"Prov. Jambi",2005,"SM/MA",39.54
15,"Prov. Jambi",2005,"SMP/Mts",64.44
15,"Prov. Jambi",2006,"SD/MI",94.36
15,"Prov. Jambi",2006,"SM/MA",40.95
15,"Prov. Jambi",2006,"SMP/Mts",65.32
15,"Prov. Jambi",2007,"SD/MI/Paket/A",93.88
15,"Prov. Jambi",2007,"SM/SMK/MA/Paket/C",44.41
15,"Prov. Jambi",2007,"SMP/Mts/Paket/B",65.88
15,"Prov. Jambi",2008,"SD/MI/Paket/A",94.31
15,"Prov. Jambi",2008,"SM/SMK/MA/Paket/C",44.81
15,"Prov. Jambi",2008,"SMP/Mts/Paket/B",66.31
15,"Prov. Jambi",2009,"SD/MI/Paket/A",95.05
15,"Prov. Jambi",2009,"SM/SMK/MA/Paket/C",44.71
15,"Prov. Jambi",2009,"SMP/Mts/Paket/B",66.42
15,"Prov. Jambi",2010,"SD/MI/Paket/A",95.61
15,"Prov. Jambi",2010,"SM/SMK/MA/Paket/C",45.31
15,"Prov. Jambi",2010,"SMP/Mts/Paket/B",66.91
15,"Prov. Jambi",2011,"SD/MI/Paket/A",92.69
15,"Prov. Jambi",2011,"SM/SMK/MA/Paket/C",48.55
15,"Prov. Jambi",2011,"SMP/Mts/Paket/B",66.54
15,"Prov. Jambi",2012,"SD/MI/Paket/A",94.15
15,"Prov. Jambi",2012,"SM/SMK/MA/Paket/C",45.42
15,"Prov. Jambi",2012,"SMP/Mts/Paket/B",69.48
16,"Prov. Sumatera Selatan",2003,"SD/MI",92.36
16,"Prov. Sumatera Selatan",2003,"SM/MA",35.73
16,"Prov. Sumatera Selatan",2003,"SMP/Mts",59.41
16,"Prov. Sumatera Selatan",2004,"SD/MI",93.13
16,"Prov. Sumatera Selatan",2004,"SM/MA",39.48
16,"Prov. Sumatera Selatan",2004,"SMP/Mts",64.81
16,"Prov. Sumatera Selatan",2005,"SD/MI",94.14
16,"Prov. Sumatera Selatan",2005,"SM/MA",42.54
16,"Prov. Sumatera Selatan",2005,"SMP/Mts",64.94
16,"Prov. Sumatera Selatan",2006,"SD/MI",93.01
16,"Prov. Sumatera Selatan",2006,"SM/MA",43.15
16,"Prov. Sumatera Selatan",2006,"SMP/Mts",68.01
16,"Prov. Sumatera Selatan",2007,"SD/MI/Paket/A",92.81
